ping_index	ping_time	channel_id	channel_freq	Ranges	angle_alongship	angle_athwartship
29	27:21.9	WBT Tube 244668-15 ES120-7CD	120000	20.32908249	3.072341681	0.342517197
29	27:21.9	WBT Tube 244668-15 ES120-7CD	120000	22.82508469	3.480209351	-2.528003454
29	27:21.9	WBT Tube 244667-15 ES200-7CD	200000	8.265067101	3.105912209	4.68117857
29	27:21.9	WBT Tube 244667-15 ES200-7CD	200000	22.80546188	2.63465929	-0.356983632
29	27:21.9	WBT Tube 244673-15 ES333-7CD	333000	8.27684021	3.064837694	3.910232067
29	27:21.9	WBT Tube 244673-15 ES333-7CD	333000	10.27050304	0.544940531	0.520075798
29	27:21.9	WBT Tube 244673-15 ES333-7CD	333000	15.60786819	0.110426359	4.394875526
29	27:21.9	WBT Tube 253689-7 ES38-18DK-Split	38000	8.288613319	-1.551796079	6.621900558
29	27:21.9	WBT Tube 253689-7 ES38-18DK-Split	38000	12.19744873	13.53410244	5.362646103
29	27:21.9	WBT Tube 253689-7 ES38-18DK-Split	38000	18.93194771	-13.71106148	8.522883415
29	27:21.9	WBT Tube 253689-7 ES38-18DK-Split	38000	22.22855568	1.267613888	7.308869839
29	27:21.9	WBT Tube 253689-7 ES38-18DK-Split	38000	23.64138794	4.929102898	0.450941145
29	27:21.9	WBT Tube 244670-15 ES70-7CD	70000	8.323934555	3.204746962	5.504256725
29	27:21.9	WBT Tube 244670-15 ES70-7CD	70000	9.70144558	-0.753808141	-0.024612589
29	27:21.9	WBT Tube 244670-15 ES70-7CD	70000	14.46975327	-4.457087517	-0.572779179
29	27:21.9	WBT Tube 244670-15 ES70-7CD	70000	14.70522499	1.122614026	-0.833802462
29	27:21.9	WBT Tube 244670-15 ES70-7CD	70000	15.6471138	-0.576666892	5.187934875
29	27:21.9	WBT Tube 244670-15 ES70-7CD	70000	18.73179626	-4.136179447	2.53830409
29	27:21.9	WBT Tube 244670-15 ES70-7CD	70000	20.6391201	6.78558588	-0.548589528
29	27:21.9	WBT Tube 244670-15 ES70-7CD	70000	22.34629059	2.008727312	5.569663048
29	27:21.9	WBT Tube 244670-15 ES70-7CD	70000	22.8290081	3.376222134	-0.474502951
29	27:21.9	WBT Tube 244670-15 ES70-7CD	70000	23.67670822	5.848294258	-1.218022466
30	27:22.2	WBT Tube 244668-15 ES120-7CD	120000	6.758045673	-0.179361314	3.856868505
30	27:22.2	WBT Tube 244668-15 ES120-7CD	120000	8.202275276	0.076192625	2.664943933
30	27:22.2	WBT Tube 244668-15 ES120-7CD	120000	22.28349876	1.820804834	4.117823601
30	27:22.2	WBT Tube 244668-15 ES120-7CD	120000	22.74659348	2.0724895	-2.157167196
30	27:22.2	WBT Tube 244667-15 ES200-7CD	200000	8.18265152	-0.176197469	4.860435009
30	27:22.2	WBT Tube 244667-15 ES200-7CD	200000	10.18416309	-0.434939981	1.25768137
30	27:22.2	WBT Tube 244667-15 ES200-7CD	200000	22.71127319	1.462875009	-0.035765149
30	27:22.2	WBT Tube 244673-15 ES333-7CD	333000	8.194425583	0.073487572	4.633927345
30	27:22.2	WBT Tube 244673-15 ES333-7CD	333000	9.234426498	0.712469935	0.427235603
30	27:22.2	WBT Tube 244673-15 ES333-7CD	333000	10.17631435	-0.090092093	0.343278021
30	27:22.2	WBT Tube 253689-7 ES38-18DK-Split	38000	4.615250587	-6.30651474	-2.760549068
30	27:22.2	WBT Tube 253689-7 ES38-18DK-Split	38000	8.241518974	-3.356017113	6.924747467
30	27:22.2	WBT Tube 253689-7 ES38-18DK-Split	38000	12.0561657	7.359515667	5.976410389
30	27:22.2	WBT Tube 253689-7 ES38-18DK-Split	38000	18.97904205	-13.54367065	3.964882612
30	27:22.2	WBT Tube 253689-7 ES38-18DK-Split	38000	20.486063	7.535707951	2.605462074
30	27:22.2	WBT Tube 253689-7 ES38-18DK-Split	38000	22.27565002	-1.629914522	7.833333015
30	27:22.2	WBT Tube 253689-7 ES38-18DK-Split	38000	23.68848228	4.332206726	0.096852988
30	27:22.2	WBT Tube 244670-15 ES70-7CD	70000	8.241518974	-0.887163877	6.299926758
30	27:22.2	WBT Tube 244670-15 ES70-7CD	70000	12.12680721	4.291459084	1.731648207
30	27:22.2	WBT Tube 244670-15 ES70-7CD	70000	15.54115105	-2.204250574	6.399541378
30	27:22.2	WBT Tube 244670-15 ES70-7CD	70000	17.91941833	-0.557857931	-2.697440624
30	27:22.2	WBT Tube 244670-15 ES70-7CD	70000	20.49783516	6.61177969	-0.064631395
30	27:22.2	WBT Tube 244670-15 ES70-7CD	70000	22.32274437	1.009911537	5.048306465
30	27:22.2	WBT Tube 244670-15 ES70-7CD	70000	22.73481941	1.675521731	-0.353762388
30	27:22.2	WBT Tube 244670-15 ES70-7CD	70000	23.67670822	4.733568192	-0.907693148
31	27:22.5	WBT Tube 244668-15 ES120-7CD	120000	8.155179977	-3.242475271	3.045564175
31	27:22.5	WBT Tube 244668-15 ES120-7CD	120000	11.93843079	6.181909561	1.997480392
31	27:22.5	WBT Tube 244668-15 ES120-7CD	120000	20.35262871	4.370512009	-1.549366117
31	27:22.5	WBT Tube 244668-15 ES120-7CD	120000	22.25995255	0.395590395	4.137743473
31	27:22.5	WBT Tube 244668-15 ES120-7CD	120000	22.66810417	0.569545925	-1.98041153
31	27:22.5	WBT Tube 244667-15 ES200-7CD	200000	10.12922001	-3.70923233	1.751691222
31	27:22.5	WBT Tube 244667-15 ES200-7CD	200000	16.77345467	3.572543383	1.758514524
31	27:22.5	WBT Tube 244667-15 ES200-7CD	200000	20.36047745	4.09846735	0.564618826
31	27:22.5	WBT Tube 244667-15 ES200-7CD	200000	22.64455605	0.106155232	-0.04767837
31	27:22.5	WBT Tube 244667-15 ES200-7CD	200000	23.66885948	4.240025997	-0.594183087
31	27:22.5	WBT Tube 244673-15 ES333-7CD	333000	4.485741615	2.660413265	3.138977528
31	27:22.5	WBT Tube 244673-15 ES333-7CD	333000	9.140237808	-1.236333728	0.139620468
31	27:22.5	WBT Tube 244673-15 ES333-7CD	333000	10.10959721	-3.079313517	0.77017498
31	27:22.5	WBT Tube 253689-7 ES38-18DK-Split	38000	8.194424629	-9.400085449	8.908592224
31	27:22.5	WBT Tube 253689-7 ES38-18DK-Split	38000	11.96197701	3.996507645	5.338334084
31	27:22.5	WBT Tube 253689-7 ES38-18DK-Split	38000	15.58824539	13.85167027	3.113648415
31	27:22.5	WBT Tube 253689-7 ES38-18DK-Split	38000	20.34477997	-2.582695961	2.806396008
31	27:22.5	WBT Tube 253689-7 ES38-18DK-Split	38000	22.32274437	-2.146497965	7.977950096
31	27:22.5	WBT Tube 253689-7 ES38-18DK-Split	38000	23.68848228	2.679546356	-0.030273233
31	27:22.5	WBT Tube 244670-15 ES70-7CD	70000	8.194424629	-4.044831276	6.087982178
31	27:22.5	WBT Tube 244670-15 ES70-7CD	70000	11.98552418	4.808807373	2.831379175
31	27:22.5	WBT Tube 244670-15 ES70-7CD	70000	14.31669617	-2.470014572	-3.366764545
31	27:22.5	WBT Tube 244670-15 ES70-7CD	70000	18.60228729	5.001795769	-0.689973116
31	27:22.5	WBT Tube 244670-15 ES70-7CD	70000	20.38010025	5.383412838	0.436162174
31	27:22.5	WBT Tube 244670-15 ES70-7CD	70000	21.22779846	0.464492232	-0.651040316
31	27:22.5	WBT Tube 244670-15 ES70-7CD	70000	22.31097031	-0.892093241	5.543403149
31	27:22.5	WBT Tube 244670-15 ES70-7CD	70000	22.66417885	0.180379391	-0.130829483
31	27:22.5	WBT Tube 244670-15 ES70-7CD	70000	23.67670822	4.363695621	-0.752295315
32	27:22.9	WBT Tube 244668-15 ES120-7CD	120000	8.147331238	-5.178160191	2.913536787
32	27:22.9	WBT Tube 244668-15 ES120-7CD	120000	11.86778927	4.62100029	1.558547854
32	27:22.9	WBT Tube 244668-15 ES120-7CD	120000	16.67141724	3.57669282	-0.42570442
32	27:22.9	WBT Tube 244668-15 ES120-7CD	120000	22.60531044	-0.896589518	-1.801639795
32	27:22.9	WBT Tube 244667-15 ES200-7CD	200000	11.87171268	4.430077553	3.80273962
32	27:22.9	WBT Tube 244667-15 ES200-7CD	200000	16.67926598	2.49190259	1.886790276
32	27:22.9	WBT Tube 244667-15 ES200-7CD	200000	20.25844002	3.311237097	0.593152344
32	27:22.9	WBT Tube 244667-15 ES200-7CD	200000	22.5778389	-1.169114709	0.275140524
32	27:22.9	WBT Tube 244667-15 ES200-7CD	200000	23.62961388	3.487041473	-0.605944633
32	27:22.9	WBT Tube 244673-15 ES333-7CD	333000	11.88348675	4.159844875	2.790979862
32	27:22.9	WBT Tube 244673-15 ES333-7CD	333000	16.67926598	2.202962875	0.772848368
32	27:22.9	WBT Tube 253689-7 ES38-18DK-Split	38000	8.241518974	-13.62652111	10.13020706
32	27:22.9	WBT Tube 253689-7 ES38-18DK-Split	38000	11.91488266	1.444463015	5.204267502
32	27:22.9	WBT Tube 253689-7 ES38-18DK-Split	38000	15.44696236	12.04826546	2.751701117
